fiscal_year,period,quarter,begin_date,end_date,weeks
2016,1,1,2016-01-31,2016-02-27,4
2016,2,1,2016-02-28,2016-03-26,4
2016,3,1,2016-03-27,2016-04-23,4
2016,4,1,2016-04-24,2016-05-21,4
2016,5,2,2016-05-22,2016-06-18,4
2016,6,2,2016-06-19,2016-07-16,4
2016,7,2,2016-07-17,2016-08-13,4
2016,8,3,2016-08-14,2016-09-10,4
2016,9,3,2016-09-11,2016-10-08,4
2016,10,3,2016-10-09,2016-11-05,4
2016,11,4,2016-11-06,2016-12-03,4
2016,12,4,2016-12-04,2016-12-31,4
2016,13,4,2017-01-01,2017-01-28,4
2017,1,1,2017-01-29,2017-02-25,4
2017,2,1,2017-02-26,2017-03-25,4
2017,3,1,2017-03-26,2017-04-22,4
2017,4,1,2017-04-23,2017-05-20,4
2017,5,2,2017-05-21,2017-06-17,4
2017,6,2,2017-06-18,2017-07-15,4
2017,7,2,2017-07-16,2017-08-12,4
2017,8,3,2017-08-13,2017-09-09,4
2017,9,3,2017-09-10,2017-10-07,4
2017,10,3,2017-10-08,2017-11-04,4
2017,11,4,2017-11-05,2017-12-02,4
2017,12,4,2017-12-03,2017-12-30,4
2017,13,4,2017-12-31,2018-02-03,5
2018,1,1,2018-02-04,2018-03-03,4
2018,2,1,2018-03-04,2018-03-31,4
2018,3,1,2018-04-01,2018-04-28,4
2018,4,1,2018-04-29,2018-05-26,4
2018,5,2,2018-05-27,2018-06-23,4
2018,6,2,2018-06-24,2018-07-21,4
2018,7,2,2018-07-22,2018-08-18,4
2018,8,3,2018-08-19,2018-09-15,4
2018,9,3,2018-09-16,2018-10-13,4
2018,10,3,2018-10-14,2018-11-10,4
2018,11,4,2018-11-11,2018-12-08,4
2018,12,4,2018-12-09,2019-01-05,4
2018,13,4,2019-01-06,2019-02-02,4
2019,1,1,2019-02-03,2019-03-02,4
2019,2,1,2019-03-03,2019-03-30,4
2019,3,1,2019-03-31,2019-04-27,4
2019,4,1,2019-04-28,2019-05-25,4
2019,5,2,2019-05-26,2019-06-22,4
2019,6,2,2019-06-23,2019-07-20,4
2019,7,2,2019-07-21,2019-08-17,4
